[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/css/7660.3c591950.chunk.css","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"text/css,*/*;q=0.1"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/7660.4dd13718.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/an.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Action requested by renderer {"type":"checkForUpdate"}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/css/4247.83b14353.chunk.css","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"text/css,*/*;q=0.1"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/4247.e9ca5899.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/media/open-sans-v34-vietnamese_latin-ext_latin_hebrew_greek-ext_greek_cyrillic-ext_cyrillic-regular.ba7d95c444d8fa356e95.woff2","referrer":"https://app.notesnook.com/static/css/4247.83b14353.chunk.css","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","Origin":"https://app.notesnook.com","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/4718.f8fde3b4.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/3019.32f3a996.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/5664.faadbd40.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
